retriever_type,parameters,map,P_5,P_10,P_20,ndcg_cut_5,ndcg_cut_10,ndcg_cut_20
baseline,['retriever_type=baseline'],0.19848300516605374,0.3219999969005585,0.2380000054836273,0.1720000058412552,0.4248720109462738,0.3861280083656311,0.3947309851646423
classifier_retriever,"['alpha=0.3', 'classification_scored_documents=20', 'retriever_type=classifier_retriever', 'text_col=keywords']",0.19890600442886355,0.328000009059906,0.239999994635582,0.17000000178813934,0.4307940006256104,0.3888019919395447,0.3949649930000305
query_expander,['retriever_type=query_expander'],0.09675899893045424,0.14000000059604645,0.12600000202655792,0.09600000083446504,0.19508600234985352,0.19708199799060824,0.2137999981641769
topic_model_retriever,"['alpha=0.1', 'text_col=stemmed_text', 'topic_modeler_n_components=100']",0.17816400527954102,0.2899999916553497,0.20600000023841855,0.15549999475479126,0.3905420005321503,0.34872499108314514,0.3611820042133331
word_embedding_classifier_retriever,"['alpha=0.4', 'retriever_type=word_embedding_classifier_retriever', 'text_col=keywords']",0.2063789963722229,0.33000001311302185,0.2419999986886978,0.16599999368190765,0.4330039918422699,0.39455801248550415,0.3939700126647949
